2020-01-28, 1
2020-01-29, 2
2020-02-05, 11
2020-02-06, 12
2020-02-07, 18
2020-02-10, 21
2020-02-11, 23
2020-02-13, 25
2020-02-17, 27
2020-02-18, 33
2020-02-19, 40
2020-02-20, 41
2020-02-21, 49
2020-02-24, 50
2020-02-25, 52
2020-02-26, 54
2020-02-27, 56
2020-02-28, 58
2020-03-02, 63
2020-03-03, 70
2020-03-04, 71
2020-03-05, 72
2020-03-06, 75
2020-03-09, 76
2020-03-10, 79
2020-03-11, 84
2020-03-12, 89
2020-03-13, 94
2020-03-16, 96
2020-03-17, 102
2020-03-18, 110
2020-03-19, 113
2020-03-20, 124
2020-03-23, 127
2020-03-24, 141
2020-03-25, 156
2020-03-26, 176
2020-03-27, 199
2020-03-30, 214
2020-03-31, 233
2020-04-01, 254
2020-04-02, 275
2020-04-03, 299
2020-04-06, 332
2020-04-07, 357
2020-04-08, 378
2020-04-09, 400
2020-04-10, 434
2020-04-13, 462
2020-04-14, 517
2020-04-15, 576
2020-04-16, 612
2020-04-17, 649
2020-04-20, 685
2020-04-21, 736
2020-04-22, 785
2020-04-24, 892
2020-04-27, 934
2020-04-28, 986
2020-04-29, 1039
